Season,No_Overall,No_Season,Title,Director,Writer,Original_Air_Date,Prod_code,US_Viewers_Mil
2,44,20,"""The One Where Old Yeller Dies""",Michael Lembeck,Story by : Michael Curtis & Gregory S. Malins. Teleplay by : Adam Chase,4-Apr-96,457320,27.4[6]
2,45,21,"""The One with the Bullies""",Michael Lembeck,Brian Buckner & Sebastian Jones,25-Apr-96,457321,24.7[6]
2,46,22,"""The One with the Two Parties""",Michael Lembeck,Alexa Junge,2-May-96,457322,25.5[6]
2,47,23,"""The One with the Chicken Pox""",Michael Lembeck,Brown Mandell,9-May-96,457324,26.1[6]
2,48,24,"""The One with Barry and Mindy's Wedding""",Michael Lembeck,Story by : Ira Ungerleider. Teleplay by : Brown Mandell,16-May-96,457323,29.0[6]
3,49,1,"""The One with the Princess Leia Fantasy""",Gail Mancuso,Michael Curtis & Gregory S. Malins,19-Sep-96,465251,26.8[7]
3,50,2,"""The One Where No One's Ready""",Gail Mancuso,Ira Ungerleider,26-Sep-96,465252,26.7[7]
3,51,3,"""The One with the Jam""",Kevin S. Bright,Wil Calhoun,3-Oct-96,465253,25.2[7]
3,52,4,"""The One with the Metaphorical Tunnel""",Steve Zuckerman,Alexa Junge,10-Oct-96,465254,26.1[7]
3,53,5,"""The One with Frank Jr.""",Steve Zuckerman,Shana Goldberg-Meehan & Scott Silveri,17-Oct-96,465255,23.3[7]
3,54,6,"""The One with the Flashback""",Peter Bonerz,David Crane & Marta Kauffman,31-Oct-96,465256,23.3[7]
3,55,7,"""The One with the Race Car Bed""",Gail Mancuso,Seth Kurland,7-Nov-96,465257,27.4[7]
3,56,8,"""The One with the Giant Poking Device""",Gail Mancuso,Adam Chase,14-Nov-96,465258,28.7[7]
3,57,9,"""The One with the Football""",Kevin S. Bright,Ira Ungerleider,21-Nov-96,465259,29.3[7]
3,58,10,"""The One Where Rachel Quits""",Terry Hughes,Gregory S. Malins & Michael Curtis,12-Dec-96,465260,25.1[7]
3,59,11,"""The One Where Chandler Can't Remember Which Sister""",Terry Hughes,Alexa Junge,9-Jan-97,465261,29.8[7]
3,60,12,"""The One with All the Jealousy""",Robby Benson,Doty Abrams,16-Jan-97,465262,29.6[7]
3,61,13,"""The One Where Monica and Richard Are Just Friends""",Robby Benson,Michael Borkow,30-Jan-97,465265,28.0[7]
3,62,14,"""The One with Phoebe's Ex-Partner""",Robby Benson,Wil Calhoun,6-Feb-97,465266,28.9[7]
3,63,15,"""The One Where Ross and Rachel Take a Break""",James Burrows,Michael Borkow,13-Feb-97,465263,27.3[7]
